,movieId,title,genres
91,93,Vampire in Brooklyn (1995),Comedy|Horror|Romance
92,94,Beautiful Girls (1996),Comedy|Drama|Romance
93,95,Broken Arrow (1996),Action|Adventure|Thriller
95,97,"Hate (Haine, La) (1995)",Crime|Drama
97,99,Heidi Fleiss: Hollywood Madam (1995),Documentary
98,100,City Hall (1996),Drama|Thriller
99,101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
100,102,Mr. Wrong (1996),Comedy
101,103,Unforgettable (1996),Mystery|Sci-Fi|Thriller
102,104,Happy Gilmore (1996),Comedy
103,105,"Bridges of Madison County, The (1995)",Drama|Romance
105,107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
108,110,Braveheart (1995),Action|Drama|War
109,111,Taxi Driver (1976),Crime|Drama|Thriller
110,112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
111,113,Before and After (1996),Drama|Mystery
115,117,"Young Poisoner's Handbook, The (1995)",Crime|Drama
116,118,If Lucy Fell (1996),Comedy|Romance
120,122,Boomerang (1992),Comedy|Romance
121,123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
123,125,Flirting With Disaster (1996),Comedy
124,126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
130,132,Jade (1995),Thriller
133,135,Down Periscope (1996),Comedy
138,140,Up Close and Personal (1996),Drama|Romance
139,141,"Birdcage, The (1996)",Comedy
142,144,"Brothers McMullen, The (1995)",Comedy
143,145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
144,146,"Amazing Panda Adventure, The (1995)",Adventure|Children
145,147,"Basketball Diaries, The (1995)",Drama
148,150,Apollo 13 (1995),Adventure|Drama|IMAX
149,151,Rob Roy (1995),Action|Drama|Romance|War
150,152,"Addiction, The (1995)",Drama|Horror
151,153,Batman Forever (1995),Action|Adventure|Comedy|Crime
152,154,Beauty of the Day (Belle de jour) (1967),Drama
153,155,Beyond Rangoon (1995),Adventure|Drama|War
154,156,Blue in the Face (1995),Comedy|Drama
155,157,Canadian Bacon (1995),Comedy|War
156,158,Casper (1995),Adventure|Children
157,159,Clockers (1995),Crime|Drama|Mystery
158,160,Congo (1995),Action|Adventure|Mystery|Sci-Fi
159,161,Crimson Tide (1995),Drama|Thriller|War
160,162,Crumb (1994),Documentary
161,163,Desperado (1995),Action|Romance|Western
162,164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
163,165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
166,168,First Knight (1995),Action|Drama|Romance
167,169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
168,170,Hackers (1995),Action|Adventure|Crime|Thriller
169,171,Jeffrey (1995),Comedy|Drama
170,172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
171,173,Judge Dredd (1995),Action|Crime|Sci-Fi
172,174,Jury Duty (1995),Comedy
173,175,Kids (1995),Drama
174,176,Living in Oblivion (1995),Comedy
175,177,Lord of Illusions (1995),Horror
177,179,Mad Love (1995),Drama|Romance
178,180,Mallrats (1995),Comedy|Romance
179,181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
183,185,"Net, The (1995)",Action|Crime|Thriller
184,186,Nine Months (1995),Comedy|Romance
186,188,"Prophecy, The (1995)",Fantasy|Horror|Mystery
189,191,"Scarlet Letter, The (1995)",Drama|Romance
191,193,Showgirls (1995),Drama
192,194,Smoke (1995),Comedy|Drama
193,195,Something to Talk About (1995),Comedy|Drama|Romance
194,196,Species (1995),Horror|Sci-Fi
196,198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
197,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
201,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
202,204,Under Siege 2: Dark Territory (1995),Action
203,205,Unstrung Heroes (1995),Comedy|Drama
204,206,Unzipped (1995),Documentary
205,207,"Walk in the Clouds, A (1995)",Drama|Romance
206,208,Waterworld (1995),Action|Adventure|Sci-Fi
209,211,"Browning Version, The (1994)",Drama
210,212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
211,213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
213,215,Before Sunrise (1995),Drama|Romance
214,216,Billy Madison (1995),Comedy
215,217,"Babysitter, The (1995)",Drama|Thriller
216,218,Boys on the Side (1995),Comedy|Drama
219,222,Circle of Friends (1995),Drama|Romance
220,223,Clerks (1994),Comedy
221,224,Don Juan DeMarco (1995),Comedy|Drama|Romance
222,225,Disclosure (1994),Drama|Thriller
224,227,Drop Zone (1994),Action|Thriller
226,229,Death and the Maiden (1994),Drama|Thriller
227,230,Dolores Claiborne (1995),Drama|Thriller
228,231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
229,232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
230,233,Exotica (1994),Drama
231,234,Exit to Eden (1994),Comedy
232,235,Ed Wood (1994),Comedy|Drama
233,236,French Kiss (1995),Action|Comedy|Romance
234,237,Forget Paris (1995),Comedy|Romance
236,239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
237,240,Hideaway (1995),Thriller
238,241,Fluke (1995),Children|Drama
243,246,Hoop Dreams (1994),Documentary
244,247,Heavenly Creatures (1994),Crime|Drama
245,248,Houseguest (1994),Comedy
246,249,Immortal Beloved (1994),Drama|Romance
249,252,I.Q. (1994),Comedy|Romance
250,253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
253,256,Junior (1994),Comedy|Sci-Fi
254,257,Just Cause (1995),Mystery|Thriller
255,258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
256,259,Kiss of Death (1995),Crime|Drama|Thriller
257,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
258,261,Little Women (1994),Drama
259,262,"Little Princess, A (1995)",Children|Drama
262,265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
263,266,Legends of the Fall (1994),Drama|Romance|War|Western
264,267,Major Payne (1995),Comedy
266,269,My Crazy Life (Mi vida loca) (1993),Drama
267,270,Love Affair (1994),Drama|Romance
268,271,Losing Isaiah (1995),Drama
269,272,"Madness of King George, The (1994)",Comedy|Drama
270,273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
271,274,Man of the House (1995),Comedy
272,275,Mixed Nuts (1994),Comedy
273,276,Milk Money (1994),Comedy|Romance
274,277,Miracle on 34th Street (1994),Drama
275,278,Miami Rhapsody (1995),Comedy
276,279,My Family (1995),Drama
277,280,Murder in the First (1995),Drama|Thriller
278,281,Nobody's Fool (1994),Comedy|Drama|Romance
279,282,Nell (1994),Drama
285,288,Natural Born Killers (1994),Action|Crime|Thriller
286,289,Only You (1994),Comedy|Romance
287,290,Once Were Warriors (1994),Crime|Drama
288,291,Poison Ivy II (1996),Drama|Thriller
289,292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
290,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
291,294,"Perez Family, The (1995)",Comedy|Romance
293,296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
296,299,Priest (1994),Drama
297,300,Quiz Show (1994),Drama
299,302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
300,303,"Quick and the Dead, The (1995)",Action|Thriller|Western
302,305,Ready to Wear (Pret-A-Porter) (1994),Comedy
303,306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
304,307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
305,308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
309,312,Stuart Saves His Family (1995),Comedy
310,313,"Swan Princess, The (1994)",Animation|Children
311,314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
312,315,"Specialist, The (1994)",Action|Drama|Thriller
313,316,Stargate (1994),Action|Adventure|Sci-Fi
314,317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
315,318,"Shawshank Redemption, The (1994)",Crime|Drama
316,319,Shallow Grave (1994),Comedy|Drama|Thriller
318,321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
319,322,Swimming with Sharks (1995),Comedy|Drama
321,325,National Lampoon's Senior Trip (1995),Comedy
323,327,Tank Girl (1995),Action|Comedy|Sci-Fi
324,328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller
325,329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
326,330,Tales from the Hood (1995),Action|Crime|Horror
328,332,Village of the Damned (1995),Horror|Sci-Fi
329,333,Tommy Boy (1995),Comedy
330,334,Vanya on 42nd Street (1994),Drama
333,337,What's Eating Gilbert Grape (1993),Drama
334,338,Virtuosity (1995),Action|Sci-Fi|Thriller
335,339,While You Were Sleeping (1995),Comedy|Romance
336,340,"War, The (1994)",Adventure|Drama|War
338,342,Muriel's Wedding (1994),Comedy
340,344,Ace Ventura: Pet Detective (1994),Comedy
341,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
342,346,Backbeat (1993),Drama|Musical
343,347,Bitter Moon (1992),Drama|Film-Noir|Romance
344,348,Bullets Over Broadway (1994),Comedy
345,349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
346,350,"Client, The (1994)",Drama|Mystery|Thriller
347,351,"Corrina, Corrina (1994)",Comedy|Drama|Romance
348,352,Crooklyn (1994),Comedy|Drama
349,353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
351,355,"Flintstones, The (1994)",Children|Comedy|Fantasy
352,356,Forrest Gump (1994),Comedy|Drama|Romance|War
353,357,Four Weddings and a Funeral (1994),Comedy|Romance
354,358,Higher Learning (1995),Drama
356,360,I Love Trouble (1994),Action|Comedy
357,361,It Could Happen to You (1994),Comedy|Drama|Romance
358,362,"Jungle Book, The (1994)",Adventure|Children|Romance
360,364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
361,365,Little Buddha (1993),Drama
362,366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
363,367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
364,368,Maverick (1994),Adventure|Comedy|Western
365,369,Mrs. Parker and the Vicious Circle (1994),Drama
366,370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
367,371,"Paper, The (1994)",Comedy|Drama
368,372,Reality Bites (1994),Comedy|Drama|Romance
369,373,Red Rock West (1992),Thriller
370,374,Richie Rich (1994),Children|Comedy
372,376,"River Wild, The (1994)",Action|Thriller
373,377,Speed (1994),Action|Romance|Thriller
374,378,Speechless (1994),Comedy|Romance
375,379,Timecop (1994),Action|Sci-Fi|Thriller
376,380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
377,381,When a Man Loves a Woman (1994),Drama|Romance
378,382,Wolf (1994),Drama|Horror|Romance|Thriller
379,383,Wyatt Earp (1994),Western
380,384,Bad Company (1995),Action|Crime|Drama
389,393,Street Fighter (1994),Action|Adventure|Fantasy
401,405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
403,407,In the Mouth of Madness (1995),Horror|Thriller
406,410,Addams Family Values (1993),Children|Comedy|Fantasy
408,412,"Age of Innocence, The (1993)",Drama
409,413,Airheads (1994),Comedy
410,414,"Air Up There, The (1994)",Comedy
411,415,Another Stakeout (1993),Comedy|Thriller
412,416,Bad Girls (1994),Western
413,417,Barcelona (1994),Comedy|Romance
415,419,"Beverly Hillbillies, The (1993)",Comedy
416,420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
418,422,Blink (1994),Thriller
419,423,Blown Away (1994),Action|Thriller
421,425,Blue Sky (1994),Drama|Romance
422,426,Body Snatchers (1993),Horror|Sci-Fi|Thriller
423,427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
424,428,"Bronx Tale, A (1993)",Drama
425,429,Cabin Boy (1994),Comedy
427,431,Carlito's Way (1993),Crime|Drama
428,432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
430,434,Cliffhanger (1993),Action|Adventure|Thriller
431,435,Coneheads (1993),Comedy|Sci-Fi
432,436,Color of Night (1994),Drama|Thriller
433,437,Cops and Robbersons (1994),Comedy
434,438,"Cowboy Way, The (1994)",Action|Comedy|Drama
436,440,Dave (1993),Comedy|Romance
437,441,Dazed and Confused (1993),Comedy
438,442,Demolition Man (1993),Action|Adventure|Sci-Fi
439,443,"Endless Summer 2, The (1994)",Adventure|Documentary
440,444,Even Cowgirls Get the Blues (1993),Comedy|Romance
441,445,Fatal Instinct (1993),Comedy
442,446,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance
444,448,Fearless (1993),Drama
446,450,With Honors (1994),Comedy|Drama
448,452,Widows' Peak (1994),Drama
450,454,"Firm, The (1993)",Drama|Thriller
451,455,Free Willy (1993),Adventure|Children|Drama
453,457,"Fugitive, The (1993)",Thriller
454,458,Geronimo: An American Legend (1993),Drama|Western
455,459,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller
456,460,Getting Even with Dad (1994),Comedy
457,461,Go Fish (1994),Drama|Romance
460,464,Hard Target (1993),Action|Adventure|Crime|Thriller
462,466,Hot Shots! Part Deux (1993),Action|Comedy|War
464,468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance
465,469,"House of the Spirits, The (1993)",Drama|Romance
467,471,"Hudsucker Proxy, The (1994)",Comedy
469,473,In the Army Now (1994),Comedy|War
470,474,In the Line of Fire (1993),Action|Thriller
471,475,In the Name of the Father (1993),Drama
473,477,What's Love Got to Do with It? (1993),Drama|Musical
474,478,Jimmy Hollywood (1994),Comedy|Crime|Drama
475,479,Judgment Night (1993),Action|Crime|Thriller
476,480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
477,481,Kalifornia (1993),Drama|Thriller
478,482,Killing Zoe (1994),Crime|Drama|Thriller
481,485,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
485,489,Made in America (1993),Comedy
486,490,Malice (1993),Thriller
487,491,"Man Without a Face, The (1993)",Drama
488,492,Manhattan Murder Mystery (1993),Comedy|Mystery
489,493,Menace II Society (1993),Action|Crime|Drama
490,494,Executive Decision (1996),Action|Adventure|Thriller
493,497,Much Ado About Nothing (1993),Comedy|Romance
496,500,Mrs. Doubtfire (1993),Comedy|Drama
497,501,Naked (1993),Drama
498,502,"Next Karate Kid, The (1994)",Action|Children|Romance
501,505,North (1994),Comedy
502,506,Orlando (1992),Drama|Fantasy|Romance
503,507,"Perfect World, A (1993)",Crime|Drama|Thriller
504,508,Philadelphia (1993),Drama
505,509,"Piano, The (1993)",Drama|Romance
506,510,Poetic Justice (1993),Drama
507,511,"Program, The (1993)",Action|Drama
508,512,"Puppet Masters, The (1994)",Horror|Sci-Fi
510,514,"Ref, The (1994)",Comedy
511,515,"Remains of the Day, The (1993)",Drama|Romance
512,516,Renaissance Man (1994),Comedy|Drama
513,517,Rising Sun (1993),Action|Drama|Mystery
514,518,"Road to Wellville, The (1994)",Comedy
515,519,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller
516,520,Robin Hood: Men in Tights (1993),Comedy
517,521,Romeo Is Bleeding (1993),Crime|Thriller
518,522,Romper Stomper (1992),Action|Drama
520,524,Rudy (1993),Drama
523,527,Schindler's List (1993),Drama|War
525,529,Searching for Bobby Fischer (1993),Drama
527,531,"Secret Garden, The (1993)",Children|Drama
528,532,Serial Mom (1994),Comedy|Crime|Horror
529,533,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery
530,534,Shadowlands (1993),Drama|Romance
531,535,Short Cuts (1993),Drama
532,536,"Simple Twist of Fate, A (1994)",Drama
533,537,Sirens (1994),Drama
534,538,Six Degrees of Separation (1993),Drama
535,539,Sleepless in Seattle (1993),Comedy|Drama|Romance
536,540,Sliver (1993),Thriller
537,541,Blade Runner (1982),Action|Sci-Fi|Thriller
538,542,Son in Law (1993),Comedy|Drama|Romance
539,543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
540,544,Striking Distance (1993),Action|Crime
542,546,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
544,548,Terminal Velocity (1994),Action|Mystery|Thriller
546,550,Threesome (1994),Comedy|Romance
547,551,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
548,552,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
549,553,Tombstone (1993),Action|Drama|Western
551,555,True Romance (1993),Crime|Thriller
552,556,"War Room, The (1993)",Documentary
553,558,"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy
557,562,Welcome to the Dollhouse (1995),Comedy|Drama
560,565,Cronos (1993),Drama|Horror
564,569,Little Big League (1994),Comedy|Drama
569,574,Spanking the Monkey (1994),Comedy|Drama
570,575,"Little Rascals, The (1994)",Children|Comedy
572,577,Andre (1994),Adventure|Children|Drama
575,581,"Celluloid Closet, The (1995)",Documentary
579,585,"Brady Bunch Movie, The (1995)",Comedy
580,586,Home Alone (1990),Children|Comedy
581,587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
582,588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
583,589,Terminator 2: Judgment Day (1991),Action|Sci-Fi
584,590,Dances with Wolves (1990),Adventure|Drama|Western
586,592,Batman (1989),Action|Crime|Thriller
587,593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
588,594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
589,595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
590,596,Pinocchio (1940),Animation|Children|Fantasy|Musical
591,597,Pretty Woman (1990),Comedy|Romance
593,599,"Wild Bunch, The (1969)",Adventure|Western
599,605,One Fine Day (1996),Drama|Romance
600,606,Candyman: Farewell to the Flesh (1995),Fantasy|Horror
602,608,Fargo (1996),Comedy|Crime|Drama|Thriller
603,609,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children
604,610,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
605,611,Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi
606,612,"Pallbearer, The (1996)",Comedy
607,613,Jane Eyre (1996),Drama|Romance
610,616,"Aristocats, The (1970)",Animation|Children
613,619,Ed (1996),Comedy
619,626,"Thin Line Between Love and Hate, A (1996)",Comedy
620,627,"Last Supper, The (1995)",Drama|Thriller
621,628,Primal Fear (1996),Crime|Drama|Mystery|Thriller
624,631,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance
628,635,"Family Thing, A (1996)",Comedy|Drama
630,637,Sgt. Bilko (1996),Comedy
632,639,Girl 6 (1996),Comedy|Drama
633,640,Diabolique (1996),Drama|Thriller
639,647,Courage Under Fire (1996),Action|Crime|Drama|War
640,648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
642,650,Moll Flanders (1996),Drama
645,653,Dragonheart (1996),Action|Adventure|Fantasy
648,656,Eddie (1996),Comedy
653,661,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical
654,662,Fear (1996),Thriller
655,663,Kids in the Hall: Brain Candy (1996),Comedy
657,665,Underground (1995),Comedy|Drama|War
660,668,Song of the Little Road (Pather Panchali) (1955),Drama
662,671,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi
664,673,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
665,674,Barbarella (1968),Adventure|Comedy|Sci-Fi
668,678,Some Folks Call It a Sling Blade (1993),Drama|Thriller
675,685,It's My Party (1996),Drama
677,688,Operation Dumbo Drop (1995),Action|Adventure|Comedy|War
679,691,Mrs. Winterbourne (1996),Comedy|Romance
682,694,"Substitute, The (1996)",Action|Crime|Drama
683,695,True Crime (1996),Mystery|Thriller
685,697,Feeling Minnesota (1996),Drama|Romance
688,700,Angus (1995),Comedy
692,704,"Quest, The (1996)",Action|Adventure
695,707,Mulholland Falls (1996),Crime|Drama|Thriller
696,708,"Truth About Cats & Dogs, The (1996)",Comedy|Romance
697,709,Oliver & Company (1988),Adventure|Animation|Children|Comedy|Musical
698,710,Celtic Pride (1996),Comedy
699,711,Flipper (1996),Adventure|Children
702,714,Dead Man (1995),Drama|Mystery|Western
706,718,"Visitors, The (Visiteurs, Les) (1993)",Comedy|Fantasy|Sci-Fi
707,719,Multiplicity (1996),Comedy
708,720,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy
712,724,"Craft, The (1996)",Drama|Fantasy|Horror|Thriller
713,725,"Great White Hype, The (1996)",Comedy
716,728,Cold Comfort Farm (1995),Comedy
719,731,Heaven's Prisoners (1996),Crime|Thriller
721,733,"Rock, The (1996)",Action|Adventure|Thriller
723,735,Cemetery Man (Dellamorte Dellamore) (1994),Horror
724,736,Twister (1996),Action|Adventure|Romance|Thriller
725,737,Barb Wire (1996),Action|Sci-Fi
728,741,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi
729,742,Thinner (1996),Horror|Thriller
730,743,Spy Hard (1996),Comedy
732,745,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy
734,747,"Stupids, The (1996)",Comedy
735,748,"Arrival, The (1996)",Action|Sci-Fi|Thriller
737,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
748,761,"Phantom, The (1996)",Action|Adventure
749,762,Striptease (1996),Comedy|Crime
752,765,Jack (1996),Comedy|Drama
753,766,I Shot Andy Warhol (1996),Drama
765,778,Trainspotting (1996),Comedy|Crime|Drama
767,780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
768,781,Stealing Beauty (1996),Drama
769,782,"Fan, The (1996)",Drama|Thriller
770,783,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance
771,784,"Cable Guy, The (1996)",Comedy|Thriller
772,785,Kingpin (1996),Comedy
773,786,Eraser (1996),Action|Drama|Thriller
775,788,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi
785,798,Daylight (1996),Action|Adventure|Drama|Thriller
786,799,"Frighteners, The (1996)",Comedy|Horror|Thriller
787,800,Lone Star (1996),Drama|Mystery|Western
788,801,Harriet the Spy (1996),Children|Comedy
789,802,Phenomenon (1996),Drama|Romance
791,804,She's the One (1996),Comedy|Romance
792,805,"Time to Kill, A (1996)",Drama|Thriller
796,809,Fled (1996),Action|Adventure
797,810,Kazaam (1996),Children|Comedy|Fantasy
803,818,"Very Brady Sequel, A (1996)",Comedy
813,828,"Adventures of Pinocchio, The (1996)",Adventure|Children
814,829,Joe's Apartment (1996),Comedy|Fantasy|Musical
815,830,"First Wives Club, The (1996)",Comedy
817,832,Ransom (1996),Crime|Thriller
818,833,High School High (1996),Comedy
820,835,Foxfire (1996),Drama
821,836,Chain Reaction (1996),Action|Adventure|Thriller
822,837,Matilda (1996),Children|Comedy|Fantasy
823,838,Emma (1996),Comedy|Drama|Romance
824,839,"Crow: City of Angels, The (1996)",Action|Thriller
827,842,Tales from the Crypt Presents: Bordello of Blood (1996),Comedy|Horror
833,848,"Spitfire Grill, The (1996)",Drama
834,849,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller
836,851,Basquiat (1996),Drama
837,852,Tin Cup (1996),Comedy|Drama|Romance
843,858,"Godfather, The (1972)",Crime|Drama
846,861,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),Action|Comedy|Crime|Thriller
850,866,Bound (1996),Crime|Drama|Romance|Thriller
859,875,Nothing to Lose (1994),Action|Crime|Drama
863,879,"Relic, The (1997)",Horror|Thriller
