,userId,movieId,rating
25633,239,3525,3.0
24726,239,541,3.0
25168,239,1970,2.0
24911,239,1225,3.0
25691,239,3728,4.0
24784,239,800,3.0
24868,239,1135,2.0
25167,239,1969,3.0
26007,239,5225,3.5
25752,239,4011,3.0
25699,239,3760,2.0
25962,239,4963,4.0
25362,239,2478,1.0
25578,239,3272,3.0
24653,239,377,2.0
24606,239,256,3.0
25707,239,3793,2.0
24787,239,805,3.0
25127,239,1831,2.0
25986,239,5049,3.0
24830,239,1031,3.0
24593,239,224,4.0
25279,239,2267,1.0
25241,239,2136,2.0
25823,239,4275,2.0
24688,239,471,4.0
25267,239,2232,1.0
25242,239,2138,2.0
26069,239,5528,3.0
25502,239,3018,3.0
24577,239,186,3.0
25755,239,4018,3.0
25784,239,4105,2.0
24876,239,1177,3.0
25933,239,4816,3.0
25516,239,3071,2.0
25149,239,1917,1.0
24791,239,838,3.0
25237,239,2124,2.0
25243,239,2140,3.0
24649,239,371,4.0
25375,239,2525,2.0
25029,239,1483,2.0
25348,239,2457,3.0
25218,239,2099,3.0
24729,239,551,3.0
24684,239,464,1.0
24714,239,520,1.0
25620,239,3481,4.0
25732,239,3917,2.0
24599,239,237,2.0
26105,239,5747,4.0
24710,239,515,3.0
24582,239,196,3.0
24932,239,1259,3.0
25764,239,4036,4.0
25389,239,2587,2.0
24661,239,410,1.0
25075,239,1635,3.0
25380,239,2542,3.0
24727,239,543,3.0
24625,239,306,4.0
25153,239,1923,3.0
25466,239,2867,2.0
24835,239,1041,3.0
25129,239,1833,3.0
24814,239,924,1.0
25110,239,1747,3.0
25342,239,2446,3.0
25254,239,2159,3.0
25936,239,4833,3.0
25710,239,3802,1.0
24883,239,1189,3.0
25512,239,3052,3.0
25680,239,3705,1.0
24946,239,1275,3.0
24651,239,373,3.0
24811,239,916,3.0
25158,239,1956,3.0
25223,239,2109,3.0
25221,239,2106,2.0
25688,239,3717,1.0
25760,239,4027,4.0
24920,239,1243,4.0
24955,239,1292,4.0
24891,239,1200,3.0
24940,239,1268,3.0
24563,239,151,3.0
25007,239,1395,3.0
25844,239,4361,4.0
24768,239,728,3.0
25144,239,1894,2.0
24690,239,477,2.0
24679,239,454,3.0
25460,239,2846,3.0
25140,239,1884,3.0
25532,239,3113,1.0
25827,239,4291,2.0
24705,239,506,2.0
25570,239,3259,2.0
25807,239,4205,3.0
25614,239,3459,3.0
24626,239,307,4.0
25503,239,3019,3.0
26023,239,5303,3.0
25332,239,2414,3.0
25572,239,3261,2.0
24959,239,1298,4.0
25656,239,3614,3.0
25586,239,3361,3.0
25173,239,1994,4.0
25003,239,1389,1.0
25577,239,3269,3.0
25988,239,5055,3.0
26162,239,6235,4.0
26065,239,5500,4.0
25546,239,3169,3.0
24523,239,24,3.0
25569,239,3257,4.0
24969,239,1327,1.0
25215,239,2094,3.0
24855,239,1095,4.0
24637,239,345,1.0
25093,239,1676,2.0
25282,239,2278,3.0
24899,239,1211,2.0
25696,239,3752,3.5
25747,239,4005,3.0
24927,239,1252,4.0
24777,239,778,4.0
24799,239,880,2.0
24906,239,1220,3.0
25564,239,3252,2.0
24885,239,1191,3.0
25833,239,4321,3.0
24573,239,180,3.0
25473,239,2894,3.0
25649,239,3578,2.0
26043,239,5377,3.0
24841,239,1061,3.0
24989,239,1357,4.0
25545,239,3160,4.0
25328,239,2409,4.0
25679,239,3704,2.0
25543,239,3156,3.0
24538,239,57,3.0
25250,239,2148,3.0
25623,239,3499,3.0
25161,239,1960,4.0
24644,239,356,3.0
25646,239,3564,1.0
24565,239,153,1.0
24720,239,534,3.0
25179,239,2001,3.0
25198,239,2025,4.0
25565,239,3253,2.0
25258,239,2167,3.0
25015,239,1416,2.0
24853,239,1093,3.0
24608,239,261,2.0
25216,239,2096,3.0
25591,239,3388,2.0
25139,239,1883,4.0
25510,239,3044,3.0
24742,239,593,3.0
25522,239,3087,3.0
24598,239,236,1.0
24843,239,1077,3.0
24886,239,1193,5.0
24596,239,233,3.0
25840,239,4351,2.0
24546,239,86,2.0
24798,239,879,1.0
25170,239,1972,2.0
25603,239,3424,2.0
24836,239,1050,3.0
24996,239,1377,4.0
24517,239,12,1.0
25191,239,2017,3.0
25370,239,2518,3.0
25682,239,3707,3.0
24560,239,147,4.0
25790,239,4128,3.0
25723,239,3871,2.0
25481,239,2926,2.0
26115,239,5816,3.0
25171,239,1973,1.0
24612,239,275,1.0
25151,239,1920,2.0
24869,239,1136,4.0
24857,239,1097,3.0
25026,239,1479,1.0
25068,239,1614,2.0
25834,239,4322,3.0
24667,239,427,1.0
24938,239,1265,3.0
24519,239,17,3.0
26140,239,6001,3.0
25581,239,3328,3.0
24638,239,346,3.0
24956,239,1293,3.0
25252,239,2150,3.0
25718,239,3841,2.0
24842,239,1073,4.0
24530,239,36,3.0
24719,239,532,4.0
24605,239,253,2.0
24759,239,691,3.0
25541,239,3148,3.0
24801,239,898,4.0
25339,239,2427,4.0
24984,239,1350,4.0
24579,239,191,3.0
24765,239,714,3.0
24995,239,1371,2.0
25421,239,2719,2.0
25261,239,2176,4.0
25293,239,2313,4.0
25721,239,3863,3.0
24819,239,938,3.0
24619,239,296,2.0
25601,239,3418,3.0
25111,239,1748,4.0
25177,239,1999,3.0
26048,239,5385,3.0
25818,239,4246,4.0
25626,239,3505,3.0
26082,239,5602,3.0
25674,239,3697,2.0
25748,239,4007,4.0
24712,239,518,4.0
24713,239,519,1.0
24723,239,538,3.0
25685,239,3712,3.0
25628,239,3510,3.0
25120,239,1799,3.0
25230,239,2116,3.0
25484,239,2950,2.0
25655,239,3608,4.0
25200,239,2028,2.0
25322,239,2395,3.0
24553,239,107,2.0
25709,239,3801,4.0
26005,239,5218,3.0
25239,239,2134,3.0
25296,239,2321,3.0
24617,239,293,5.0
25294,239,2318,2.0
25182,239,2004,3.0
25060,239,1594,2.0
24673,239,436,1.0
25663,239,3676,2.0
24847,239,1084,3.0
24788,239,829,1.0
24629,239,318,3.0
24733,239,565,4.0
25657,239,3617,3.0
25345,239,2453,2.0
24594,239,225,3.0
24755,239,648,3.0
25213,239,2087,3.0
24908,239,1222,4.0
25431,239,2747,2.0
25017,239,1425,2.0
25266,239,2231,3.0
25693,239,3735,3.0
25044,239,1541,4.0
24833,239,1036,3.0
25100,239,1699,3.0
26009,239,5246,2.0
25027,239,1480,2.0
24725,239,540,2.0
25206,239,2058,2.0
25548,239,3176,1.0
25722,239,3868,3.0
25544,239,3157,3.0
24941,239,1269,4.0
25255,239,2160,4.0
25187,239,2011,4.0
24919,239,1242,3.0
25024,239,1466,3.0
24737,239,587,4.0
25637,239,3529,3.0
24773,239,750,4.0
25159,239,1958,4.0
24805,239,904,5.0
24730,239,552,2.0
24951,239,1287,3.0
24817,239,933,3.0
25002,239,1388,3.0
24746,239,597,4.0
25537,239,3142,4.0
24545,239,81,2.0
24603,239,249,3.0
25551,239,3198,3.0
24675,239,441,2.0
25642,239,3550,4.0
24923,239,1246,4.0
24965,239,1306,4.0
25105,239,1721,3.0
24961,239,1300,4.0
26006,239,5220,3.0
25921,239,4728,1.0
25287,239,2294,3.0
25428,239,2739,3.0
25382,239,2560,4.0
25150,239,1918,3.0
25465,239,2862,1.0
25095,239,1680,4.0
24930,239,1257,3.0
25493,239,2985,3.0
25049,239,1562,1.0
24945,239,1274,3.0
25902,239,4642,3.0
25990,239,5065,2.0
25163,239,1962,3.0
25497,239,3005,1.0
25568,239,3256,3.0
25820,239,4262,4.0
24652,239,376,3.0
25714,239,3819,4.0
25396,239,2618,2.0
25857,239,4448,3.0
24521,239,21,3.0
26059,239,5452,1.0
25080,239,1644,2.0
24846,239,1082,3.0
25476,239,2915,3.0
25486,239,2959,3.0
25622,239,3498,3.0
25037,239,1515,1.0
25367,239,2505,2.0
25094,239,1678,2.0
24622,239,302,4.0
25226,239,2112,3.0
26062,239,5459,3.0
25098,239,1689,3.0
25553,239,3203,2.0
26053,239,5418,3.0
25573,239,3262,4.0
25454,239,2803,3.0
25194,239,2021,3.0
25401,239,2643,1.0
25369,239,2517,3.0
24657,239,382,2.0
25386,239,2571,3.0
25469,239,2872,4.5
24686,239,468,3.0
25538,239,3145,2.0
24752,239,628,3.0
25621,239,3489,2.0
24704,239,501,3.0
24715,239,521,4.0
24884,239,1190,4.0
24838,239,1056,3.0
25071,239,1619,3.0
25563,239,3250,3.0
25810,239,4213,1.0
25677,239,3702,3.0
25440,239,2770,4.0
25478,239,2917,3.0
25331,239,2413,3.0
24967,239,1320,2.0
25116,239,1777,3.0
25599,239,3408,3.0
25968,239,4980,2.0
24771,239,736,2.0
24528,239,34,4.0
25615,239,3466,2.0
25334,239,2421,2.0
25364,239,2490,2.0
25248,239,2146,3.0
24732,239,555,3.0
25555,239,3210,4.0
25188,239,2012,2.0
25295,239,2320,3.0
24806,239,908,5.0
25227,239,2113,1.0
24881,239,1186,3.0
25409,239,2696,3.0
25765,239,4037,3.0
25088,239,1663,3.0
24875,239,1175,5.0
24697,239,490,3.0
24548,239,95,1.0
24852,239,1092,3.0
25441,239,2779,3.0
25675,239,3699,4.0
25571,239,3260,2.0
25525,239,3100,3.0
25776,239,4067,3.0
25407,239,2683,2.0
25673,239,3693,2.0
25749,239,4008,3.0
25119,239,1785,3.0
25355,239,2470,3.0
24862,239,1125,3.0
25515,239,3070,3.0
24858,239,1101,3.0
25053,239,1573,1.0
25901,239,4641,2.0
25740,239,3969,2.0
26089,239,5649,3.0
25360,239,2475,3.0
24576,239,185,2.0
24524,239,26,4.0
25032,239,1498,3.0
25566,239,3254,1.0
25523,239,3088,5.0
25311,239,2359,4.0
25353,239,2468,3.0
25285,239,2289,4.0
25346,239,2455,3.0
24609,239,266,4.0
25006,239,1394,4.0
24854,239,1094,3.0
26086,239,5630,3.5
24864,239,1127,3.0
25305,239,2344,3.0
25081,239,1645,3.0
24567,239,159,3.0
24831,239,1032,4.0
24514,239,7,2.0
25091,239,1673,3.0
25101,239,1701,3.0
24785,239,802,3.0
24562,239,150,3.0
25208,239,2072,3.0
25052,239,1569,2.0
24741,239,592,3.0
24904,239,1216,4.0
25195,239,2022,4.0
24590,239,216,3.0
24786,239,804,3.0
25312,239,2369,3.0
24513,239,6,2.0
25918,239,4718,3.0
25596,239,3397,3.0
24770,239,733,3.0
25297,239,2324,4.0
25000,239,1381,2.0
26093,239,5679,4.0
25731,239,3911,4.0
25993,239,5081,3.0
25329,239,2410,3.0
25217,239,2097,4.0
25205,239,2046,3.0
25030,239,1485,2.0
25277,239,2262,3.0
25589,239,3386,3.0
24963,239,1304,4.0
24591,239,222,2.0
24635,239,342,3.0
24976,239,1339,4.0
25839,239,4349,4.0
25600,239,3412,4.0
25922,239,4734,3.0
24903,239,1215,3.0
24516,239,11,3.0
25959,239,4951,2.0
25819,239,4247,2.0
25284,239,2288,4.0
25047,239,1552,1.0
24863,239,1126,3.0
25511,239,3045,3.0
26139,239,5989,3.0
24522,239,22,2.0
25919,239,4720,4.0
25542,239,3152,4.0
24865,239,1128,2.0
25445,239,2789,4.0
24980,239,1345,3.0
24794,239,852,3.0
25778,239,4084,2.0
24570,239,168,1.0
24779,239,781,4.0
25496,239,2997,5.0
25092,239,1674,3.0
26019,239,5294,3.5
24568,239,162,3.0
25209,239,2076,4.0
24762,239,697,3.0
25925,239,4754,4.0
24602,239,247,4.0
26124,239,5902,4.0
25232,239,2118,4.0
25122,239,1804,2.0
25668,239,3685,3.0
24643,239,355,1.0
25316,239,2378,2.0
24711,239,517,1.0
25635,239,3527,1.0
25155,239,1949,3.0
24670,239,432,2.0
25613,239,3450,2.0
25126,239,1821,2.0
24925,239,1249,4.0
24655,239,380,3.0
25413,239,2707,2.0
24693,239,480,3.0
25397,239,2628,2.0
25966,239,4978,4.0
25694,239,3740,4.0
25814,239,4225,3.0
24998,239,1379,2.0
24749,239,612,3.0
25939,239,4855,3.0
25715,239,3826,1.0
24699,239,492,3.0
25989,239,5060,3.0
25398,239,2640,3.0
25224,239,2110,3.0
24910,239,1224,4.0
25099,239,1690,3.0
24681,239,457,2.0
24564,239,152,2.0
25574,239,3263,2.0
25406,239,2672,2.0
24543,239,78,4.0
24767,239,720,4.0
25798,239,4167,3.0
24890,239,1199,5.0
25602,239,3421,2.0
25036,239,1513,3.0
25147,239,1912,3.0
25307,239,2348,4.0
25299,239,2327,3.0
25661,239,3668,3.0
25324,239,2405,3.0
25018,239,1438,1.0
25556,239,3219,4.0
25016,239,1419,3.0
25690,239,3727,3.0
25146,239,1909,3.0
25102,239,1704,2.0
25567,239,3255,3.0
25855,239,4443,2.0
25424,239,2729,4.0
25264,239,2194,4.0
25423,239,2723,2.0
24840,239,1060,4.0
25361,239,2476,2.0
25392,239,2598,2.0
25253,239,2151,2.0
24972,239,1332,3.0
26068,239,5522,3.0
25410,239,2699,2.0
25640,239,3546,2.0
25387,239,2580,2.0
25045,239,1544,2.0
24922,239,1245,5.0
24812,239,919,4.0
25464,239,2858,3.0
25031,239,1488,2.0
24813,239,923,3.0
24978,239,1343,3.0
25630,239,3516,4.0
25112,239,1752,2.0
25442,239,2784,3.0
25399,239,2641,3.0
25156,239,1954,4.0
26070,239,5530,0.5
26010,239,5247,2.0
25735,239,3948,2.0
25994,239,5090,3.0
24639,239,348,4.0
26012,239,5265,2.0
25518,239,3075,3.0
24527,239,32,3.0
26111,239,5784,1.5
25845,239,4370,3.0
25356,239,2471,2.0
25236,239,2122,2.0
24825,239,1003,2.0
26003,239,5214,2.0
25371,239,2520,3.0
24624,239,305,2.0
24534,239,45,3.0
24587,239,208,1.0
25829,239,4306,4.0
25588,239,3363,3.0
26085,239,5620,1.5
25612,239,3448,3.0
24621,239,300,4.0
25121,239,1801,2.0
